path,id,CRO_CPE,CellPose CPE Probability,CPE Detection
1,101,0,0.6506,1
1,103,0,0.638,1
1,104,0,0.7555,1
1,201,0,0.6453,1
1,202,0,0.7085,1
1,305,0,0.6751,1
1,401,0,0.6545,1
1,406,1,0.7204,1
1,501,0,0.6509,1
2,101,1,0.603,1
2,201,0,0.6418,1
2,202,1,0.6799,1
2,303,1,0.6541,1
2,307,0,0.6348,1
2,308,0,0.7177,1
2,402,1,0.6922,1
2,405,1,0.6718,1
2,406,1,0.7316,1
2,503,1,0.6681,1
2,504,1,0.7319,1
2,507,1,0.663,1
2,508,1,0.6301,1
