path,day,magnification,cell_count_mean,cell_count_std,confluency_percent_mean,confluency_percent_std,mean_area_px_mean,mean_area_px_std,mean_circularity_mean,mean_circularity_std,mean_eccentricity_mean,mean_eccentricity_std,mean_perimeter_px_mean,mean_perimeter_px_std
Path 1,Unknown,Unknown,296.54,262.72,7.24,5.86,868.17,162.2,0.74,0.04,0.75,0.05,119.59,7.8
Path 2,Unknown,Unknown,147.1,128.22,3.59,2.81,906.68,231.24,0.74,0.05,0.72,0.06,121.98,13.48
