image,cell_count,confluency_percent,mean_area_px,mean_circularity,mean_eccentricity,mean_perimeter_px
EXP_path1_passage4_101.png,313,8.848826090494793,889.3290734824282,0.7157203901791829,0.7623040451546063,124.7690007470021
EXP_path1_passage4_102.png,21,0.6986618041992188,1046.5714285714287,0.8369717643351577,0.608863300220144,119.85285500675603
EXP_path1_passage4_103.png,149,3.4322738647460938,724.6308724832214,0.7058865717332196,0.7680573489761023,114.74491310306863
EXP_path1_passage4_104.png,8,0.2163569132486979,850.75,0.8337573616753421,0.6487560074358643,110.01524163602468
EXP_path1_passage4_105.png,365,9.774843851725262,842.4383561643835,0.7076884597399189,0.7937380325747813,122.97602820892986
EXP_path1_passage4_106.png,27,0.8905410766601562,1037.5555555555557,0.7764654537131216,0.6592909092129096,124.75790169389447
EXP_path1_passage4_107.png,347,8.543459574381512,774.507204610951,0.7136966708556819,0.7797230675295748,117.47724811790339
EXP_path1_passage4_108.png,37,1.184209187825521,1006.8108108108108,0.8267769196789119,0.6512418333029931,120.00994785876742
EXP_path1_passage4_109.png,300,7.352097829182942,770.9233333333333,0.7146958968578542,0.7739843877189766,117.53737486683897
EXP_path1_passage4_110.png,16,0.4395802815755208,864.25,0.8203205858465605,0.6628166023087994,113.9065498016715
EXP_path1_passage4_201.png,599,15.564314524332682,817.380634390651,0.7008900188109273,0.7882392276476495,121.11602729794011
EXP_path1_passage4_202.png,49,1.4010111490885415,899.4285714285714,0.773890043979246,0.7112177416128788,119.77985459775647
EXP_path1_passage4_203.png,269,6.038761138916016,706.182156133829,0.724929194858002,0.7703175050133644,110.66257684089778
EXP_path1_passage4_204.png,12,0.5817413330078125,1525.0,0.7741416362084276,0.676411500239344,146.744687860985
EXP_path1_passage4_205.png,527,12.692832946777344,757.650853889943,0.7309273559494391,0.7661616317702508,114.25228408694176
EXP_path1_passage4_206.png,65,2.1343549092610674,1032.9384615384615,0.775932655563951,0.6972624479607304,126.36367069351125
EXP_path1_passage4_207.png,495,12.209320068359375,775.9030303030303,0.7156901744796066,0.7788335494326155,116.58938847297
EXP_path1_passage4_208.png,26,0.7437070210774739,899.8076923076923,0.7539772937869503,0.7217592349553656,119.73421987356129
