path,id,model1_infected,model1_class,model1_probs,model2_infected,model2_class,model2_probs,model3_infected,model3_class,model3_probs
1,101,0.9999550580978394,1,"[4.4918830099049956e-05, 0.9999550580978394]",1.0,1,"[5.261622843151514e-13, 1.0]",0.9990912675857544,1,"[0.0009087693179026246, 0.9990912675857544]"
1,102,0.9669910669326782,1,"[0.03300890699028969, 0.9669910669326782]",0.004140506964176893,0,"[0.9958595633506775, 0.004140506964176893]",0.025379976257681847,0,"[0.97461998462677, 0.025379976257681847]"
1,103,0.6016693115234375,1,"[0.3983307480812073, 0.6016693115234375]",0.9976019263267517,1,"[0.0023980799596756697, 0.9976019263267517]",1.2011823855573311e-05,0,"[0.9999879598617554, 1.2011823855573311e-05]"
1,104,0.9742843508720398,1,"[0.02571556717157364, 0.9742843508720398]",0.8709808588027954,1,"[0.1290191411972046, 0.8709808588027954]",7.590555469505489e-05,0,"[0.9999240636825562, 7.590555469505489e-05]"
1,105,0.9988075494766235,1,"[0.0011924635618925095, 0.9988075494766235]",0.9999629259109497,1,"[3.705734707182273e-05, 0.9999629259109497]",0.9577739834785461,1,"[0.04222599044442177, 0.9577739834785461]"
1,106,0.9739159941673279,1,"[0.02608400210738182, 0.9739159941673279]",0.9999924898147583,1,"[7.567067314084852e-06, 0.9999924898147583]",0.0002223597257398069,0,"[0.999777615070343, 0.0002223597257398069]"
1,107,0.9987707734107971,1,"[0.0012291722232475877, 0.9987707734107971]",1.0,1,"[4.1732929612070535e-11, 1.0]",0.0026442965026944876,0,"[0.9973556995391846, 0.0026442965026944876]"
1,108,0.9972102046012878,1,"[0.002789810998365283, 0.9972102046012878]",0.83558589220047,1,"[0.1644141525030136, 0.83558589220047]",6.398649566108361e-05,0,"[0.9999359846115112, 6.398649566108361e-05]"
1,109,0.9989761114120483,1,"[0.0010239513358101249, 0.9989761114120483]",0.9999885559082031,1,"[1.1498830644995905e-05, 0.9999885559082031]",0.0011444324627518654,0,"[0.9988555908203125, 0.0011444324627518654]"
1,110,0.8910915851593018,1,"[0.10890843719244003, 0.8910915851593018]",0.999993085861206,1,"[6.885725724714575e-06, 0.999993085861206]",0.00029742741025984287,0,"[0.999702513217926, 0.00029742741025984287]"
1,201,0.9999995231628418,1,"[4.3144635242242657e-07, 0.9999995231628418]",1.0,1,"[4.24906859697316e-10, 1.0]",0.9999998807907104,1,"[8.016124297682836e-08, 0.9999998807907104]"
1,202,0.9994982481002808,1,"[0.000501771573908627, 0.9994982481002808]",0.9996206760406494,1,"[0.0003792835050262511, 0.9996206760406494]",0.6623084545135498,1,"[0.33769160509109497, 0.6623084545135498]"
